subject_id,age,gender,mom_edu,language,music_training,sheet_music,h_c_pre,h_c_post,anxiety,lag_task1,pc_baseline_task1,pc_post1_task1,pc_pre2_task1,pc_post2_task1,pc_final_task1,sdl_baseline_task1,sdl_post1_task1,sdl_pre2_task1,sdl_post2_task1,sdl_final_task1,sda_baseline_task1,sda_post1_task1,sda_pre2_task1,sda_post2_task1,sda_final_task1,lag_task2,pc_baseline_task2,pc_post1_task2,pc_pre2_task2,pc_post2_task2,pc_final_task2
44,18,1,16,9,,,100,100,5.5,10,71,71,76,86,86,51,50,63,69,43,4,6,4,5,4,1,100,14.81481481,25.92592593,37.03703704,48.14814815
45,19,1,13,70,1,2,92.5,90,6.25,0,83,49,71,59,88,85,52,72,58,41,8,10,11,9,14,15,100,44.44444444,44.44444444,100,96.2962963
46,21,0,15,20,2,1,80,82.5,5,0,100,69,78,67,51,79,25,27,26,33,2,3,4,3,3,15,88.88888889,66.66666667,70.37037037,62.96296296,70.37037037
47,20,0,11,35,2,1,75,70,8.25,1,98,100,100,100,82,32,26,30,41,27,6,7,7,7,4,10,100,81.48148148,85.18518519,85.18518519,100
48,23,1,14,100,,,78.5,79.5,,5,100,100,100,100,100,59,86,47,62,42,11,9,6,7,6,5,70.37037037,55.55555556,37.03703704,44.44444444,59.25925926
49,20,0,14,80,2,2,92.5,100,9.25,1,43,69,84,84,57,520,325,390,248,346,5,5,7,7,9,10,,,,,
50,25,0,12,3,1,1,77.5,82,8,1,100,73,100,100,100,51,62,59,91,38,4,6,4,11,6,10,88.88888889,44.44444444,59.25925926,66.66666667,81.48148148
51,18,0,12,100,2,1,65,50.5,4.75,10,69,100,98,100,100,53,34,47,33,29,3,4,5,4,4,1,100,66.66666667,48.14814815,81.48148148,66.66666667
52,22,0,18,90,,,50,97.5,6,15,63,45,96,73,100,290,51,31,96,36,5,6,5,4,6,0,40.74074074,33.33333333,25.92592593,40.74074074,40.74074074
53,19,0,10,82,2,2,85.5,100,6.25,0,81,98,100,88,100,310,44,43,47,41,7,5,6,6,5,15,100,59.25925926,70.37037037,100,100
54,19,0,17,73,,,85.5,93,4,15,75,47,63,12,67,107,293,128,71,58,6,7,6,10,11,0,100,40.74074074,29.62962963,11.11111111,81.48148148
55,18,0,5,93,,,100,100,1,5,55,57,51,67,78,358,77,270,261,196,9,6,5,8,6,15,55.55555556,40.74074074,25.92592593,62.96296296,59.25925926
56,18,0,14,90,,,80,87.5,5.25,0,100,100,78,63,71,72,51,69,95,79,6,3,6,4,2,15,74.07407407,55.55555556,11.11111111,59.25925926,59.25925926
57,19,0,9,71,,,67.5,81.5,7,10,41,51,82,55,73,208,167,145,115,123,7,9,6,6,6,1,92.59259259,51.85185185,70.37037037,70.37037037,100
58,19,0,14,70,,,97.5,98.5,4.75,0,85,100,100,100,80,122,44,52,57,42,8,5,5,6,5,15,70.37037037,14.81481481,33.33333333,59.25925926,33.33333333
59,18,0,12,100,,,90,,1,10,67,80,100,100,100,151,43,39,47,48,5,4,5,4,4,1,44.44444444,29.62962963,37.03703704,37.03703704,33.33333333
60,28,1,14,34,2,2,30,79,7.75,15,71,100,98,94,82,90,38,50,51,41,7,6,5,9,7,0,77.77777778,25.92592593,22.22222222,40.74074074,29.62962963
61,18,0,16,75,2,1,75,78,6.25,5,86,100,100,67,100,48,47,64,35,53,3,4,3,4,4,5,85.18518519,7.407407407,18.51851852,62.96296296,55.55555556
62,20,0,16,100,,,90,90,7.75,1,29,76,98,75,75,188,210,83,126,105,9,3,4,7,4,10,100,66.66666667,48.14814815,48.14814815,55.55555556
63,22,0,16,65,2,2,67.5,78,7,15,67,90,86,69,100,69,57,45,54,89,7,6,6,5,4,0,100,81.48148148,81.48148148,70.37037037,81.48148148
64,18,0,16,26,2,1,100,93,1.5,15,82,75,100,98,100,91,133,55,60,47,4,6,5,3,3,0,85.18518519,77.77777778,48.14814815,62.96296296,81.48148148
65,18,1,12,80,,,94,98.5,,1,73,92,69,78,100,200,73,42,47,59,10,10,10,5,8,10,44.44444444,3.703703704,7.407407407,11.11111111,3.703703704
66,17,0,18,75,2,1,65,93.5,2,15,84,82,65,98,94,78,60,39,36,41,7,10,6,7,9,0,88.88888889,48.14814815,44.44444444,51.85185185,81.48148148
67,20,1,16,80,2,2,90,92,5.333333333,1,88,98,69,55,73,49,22,20,31,24,5,8,9,7,7,10,74.07407407,92.59259259,66.66666667,96.2962963,81.48148148
68,17,0,12,90,,,71,92,6,10,100,100,100,100,100,233,228,158,126,135,6,4,6,3,4,1,40.74074074,11.11111111,25.92592593,40.74074074,40.74074074
69,18,0,8,71,,,80,51,,1,69,94,100,75,45,194,91,92,76,58,7,6,5,6,8,10,100,55.55555556,55.55555556,88.88888889,81.48148148
70,26,0,14,70,2,2,80,85,4.25,10,98,69,100,100,100,145,95,68,56,71,5,4,7,5,4,1,100,29.62962963,44.44444444,85.18518519,48.14814815
71,26,1,14,4,2,2,70,68,6.5,5,98,86,100,100,100,81,41,42,43,78,6,5,6,7,9,5,81.48148148,51.85185185,70.37037037,40.74074074,74.07407407
72,18,1,16,100,2,2,100,100,1,0,76,71,82,100,65,235,33,34,33,42,7,4,7,6,5,15,100,88.88888889,85.18518519,37.03703704,100
73,17,1,14,100,2,1,91,94.5,6.25,5,69,100,100,100,100,20,57,34,41,36,9,9,11,9,8,5,100,92.59259259,85.18518519,92.59259259,100
74,19,0,11,18,1,1,30,39,6.25,15,55,49,100,100,100,250,97,141,63,78,8,5,5,6,4,0,22.22222222,11.11111111,11.11111111,7.407407407,14.81481481
75,19,0,12,80,2,2,95,95,6.75,10,53,78,63,100,76,226,49,31,49,44,11,14,10,13,13,1,100,22.22222222,48.14814815,74.07407407,
76,21,0,12,14,2,2,93.5,82.5,3,15,67,94,76,86,100,98,99,298,106,85,6,4,5,3,3,5,74.07407407,66.66666667,33.33333333,70.37037037,81.48148148
77,25,1,18,50,,,85,85,2.25,15,71,63,59,100,100,213,104,144,130,79,10,7,6,8,7,0,74.07407407,48.14814815,29.62962963,55.55555556,48.14814815
78,31,0,12,81,2,2,60,51.5,7.75,5,24,55,53,47,75,553,313,406,380,240,8,7,5,5,7,5,62.96296296,33.33333333,18.51851852,44.44444444,48.14814815
79,20,0,14,60,,,85.5,95.5,1.5,1,67,98,98,78,100,145,129,108,96,47,6,4,5,5,5,10,100,51.85185185,40.74074074,44.44444444,33.33333333
80,18,0,14,79,,,61,70,5.25,1,63,39,80,100,57,335,212,225,135,257,7,6,5,3,5,10,,,,,
81,20,1,16,85,,,80,92.5,5,1,41,63,100,47,51,46,34,28,35,36,4,7,5,5,6,10,100,81.48148148,81.48148148,100,100
82,18,0,15,73,,,70,100,4.25,1,76,73,100,53,84,96,41,63,65,41,3,5,4,3,4,10,100,18.51851852,37.03703704,51.85185185,66.66666667
83,17,0,18,100,2,1,80,80,8.25,0,100,100,100,67,100,51,40,33,78,65,7,7,5,7,7,15,100,59.25925926,44.44444444,37.03703704,70.37037037
84,,,,,,,,,,5,18,71,76,78,92,322,71,92,84,44,17,15,17,10,9,5,,,,,
85,21,0,8,93,2,2,85,84.5,6,0,65,76,73,78,100,193,134,200,63,89,4,4,4,5,3,15,88.88888889,22.22222222,29.62962963,51.85185185,44.44444444
86,21,1,12,82,,,95.5,100,4.25,10,75,51,55,65,59,418,283,338,269,328,8,6,6,9,6,1,59.25925926,29.62962963,,44.44444444,48.14814815
87,18,0,12,60,,,85,70,7.25,0,41,100,73,39,71,128,60,84,97,68,5,4,6,6,4,15,88.88888889,25.92592593,22.22222222,74.07407407,74.07407407
88,19,0,16,,2,2,50,70.5,7,1,53,75,67,82,88,115,44,38,37,49,7,7,5,5,5,10,100,44.44444444,40.74074074,70.37037037,62.96296296
89,19,1,12,93,2,2,100,87.5,5.5,10,63,63,61,71,75,333,176,210,152,112,6,7,3,4,5,1,96.2962963,29.62962963,44.44444444,48.14814815,25.92592593
90,22,0,14,40,2,1,100,100,6.75,10,100,78,47,98,100,52,27,44,36,39,3,5,5,5,3,1,88.88888889,70.37037037,55.55555556,88.88888889,88.88888889
91,17,1,14,88,2,1,75,84,6.5,1,49,67,59,47,100,319,103,42,70,67,11,9,8,14,9,10,77.77777778,62.96296296,29.62962963,88.88888889,81.48148148
92,17,0,16,45,2,2,88.5,93,2.75,15,100,61,100,100,100,46,45,23,53,25,9,7,4,4,5,0,100,29.62962963,22.22222222,88.88888889,51.85185185
93,20,1,16,11,,,65,81.5,3.75,15,27,55,37,88,80,495,220,187,184,103,11,9,7,5,5,0,77.77777778,14.81481481,25.92592593,22.22222222,25.92592593
94,18,1,18,100,1,2,80,90,3.75,10,100,82,69,71,71,64,72,51,38,46,5,8,6,6,6,1,100,66.66666667,88.88888889,81.48148148,100
95,19,0,12,35,,,71,95,4.5,1,60,100,82,82,75,243,82,80,65,37,8,6,5,4,6,10,55.55555556,,3.703703704,40.74074074,55.55555556
96,20,0,5,91,,,82.5,91.5,5.5,5,35,84,100,100,86,358,122,69,60,61,17,7,9,6,7,5,62.96296296,74.07407407,62.96296296,74.07407407,74.07407407
97,18,0,12,78,,,45,73.5,9,15,100,61,100,100,82,306,198,88,115,82,8,6,4,4,5,0,85.18518519,51.85185185,48.14814815,66.66666667,77.77777778
98,20,1,14,,2,2,78.5,73,5.25,5,27,65,25,47,53,538,281,545,90,87,25,14,15,8,10,5,100,44.44444444,51.85185185,55.55555556,62.96296296
99,19,0,16,100,2,2,60,55.5,6.75,10,92,98,80,76,80,60,108,71,100,71,4,6,6,3,6,1,88.88888889,55.55555556,55.55555556,62.96296296,62.96296296
100,19,0,14,54,2,2,84,86.5,3.75,10,35,67,55,29,67,637,348,290,324,226,10,7,7,7,7,1,,,,,
